hash,rel,full,name,size,db_file_path_ref,text_ref,referenced,action,reason
622979D0D0F630E6E848B248EACE9C5D72757CF0AECB499F38A244E80B6DBF36,1\23cd22ad938f414b8a2fd48b32f2e664.jpg,C:\panda-gallery\originals\1\23cd22ad938f414b8a2fd48b32f2e664.jpg,23cd22ad938f414b8a2fd48b32f2e664.jpg,16697,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
629C39ED1746C51E9D6DD39E7DD34EF34B0922ED6A83E9E55C02C353EDB3546F,1\364d8bcb47af445ba3418898df15ba3e.jpg,C:\panda-gallery\originals\1\364d8bcb47af445ba3418898df15ba3e.jpg,364d8bcb47af445ba3418898df15ba3e.jpg,27987,True,False,True,keep,referenced_by_db_file_path_or_text
629C39ED1746C51E9D6DD39E7DD34EF34B0922ED6A83E9E55C02C353EDB3546F,2\aa54b0c3795b4dadbea1148b9fb3b3dc.jpg,C:\panda-gallery\originals\2\aa54b0c3795b4dadbea1148b9fb3b3dc.jpg,aa54b0c3795b4dadbea1148b9fb3b3dc.jpg,27987,True,False,True,keep,referenced_by_db_file_path_or_text
629C39ED1746C51E9D6DD39E7DD34EF34B0922ED6A83E9E55C02C353EDB3546F,1\26a50ab675f740819716c80d85f37ad1.jpg,C:\panda-gallery\originals\1\26a50ab675f740819716c80d85f37ad1.jpg,26a50ab675f740819716c80d85f37ad1.jpg,27987,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
95018D3088D30AD2C158917F76DBB63F81857FAB1468B53FDA76B809AFE6821A,1\28b1342c82074bb082013f379d469c19.jpg,C:\panda-gallery\originals\1\28b1342c82074bb082013f379d469c19.jpg,28b1342c82074bb082013f379d469c19.jpg,27485,True,False,True,keep,referenced_by_db_file_path_or_text
95018D3088D30AD2C158917F76DBB63F81857FAB1468B53FDA76B809AFE6821A,2\b92ed9b4c0374edd83a237dbd0919290.jpg,C:\panda-gallery\originals\2\b92ed9b4c0374edd83a237dbd0919290.jpg,b92ed9b4c0374edd83a237dbd0919290.jpg,27485,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
39D3E34E72CD47DB771759677AA37C80DA27FF7E493F9E5BCD4EF1D7F513F57A,1\c2080d865d864e298ee1b3c7b7710a98.jpg,C:\panda-gallery\originals\1\c2080d865d864e298ee1b3c7b7710a98.jpg,c2080d865d864e298ee1b3c7b7710a98.jpg,18695,True,False,True,keep,referenced_by_db_file_path_or_text
39D3E34E72CD47DB771759677AA37C80DA27FF7E493F9E5BCD4EF1D7F513F57A,2\94fba1cc77cf4bad875eea99b98130cc.jpg,C:\panda-gallery\originals\2\94fba1cc77cf4bad875eea99b98130cc.jpg,94fba1cc77cf4bad875eea99b98130cc.jpg,18695,True,False,True,keep,referenced_by_db_file_path_or_text
39D3E34E72CD47DB771759677AA37C80DA27FF7E493F9E5BCD4EF1D7F513F57A,1\2b36ce499120455289cc8f5a19a8f9b8.jpg,C:\panda-gallery\originals\1\2b36ce499120455289cc8f5a19a8f9b8.jpg,2b36ce499120455289cc8f5a19a8f9b8.jpg,18695,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
8CDB2D85D3E287AA1A055A1E592865BCC0D167CBA527CF177D9EE8DAB2F86053,1\2e6b8e073c6c47dd94bda0bf1648dab8.jpg,C:\panda-gallery\originals\1\2e6b8e073c6c47dd94bda0bf1648dab8.jpg,2e6b8e073c6c47dd94bda0bf1648dab8.jpg,19722,True,False,True,keep,referenced_by_db_file_path_or_text
8CDB2D85D3E287AA1A055A1E592865BCC0D167CBA527CF177D9EE8DAB2F86053,2\4fff525227f6410d8be5517cb7e4fa23.jpg,C:\panda-gallery\originals\2\4fff525227f6410d8be5517cb7e4fa23.jpg,4fff525227f6410d8be5517cb7e4fa23.jpg,19722,True,False,True,keep,referenced_by_db_file_path_or_text
8CDB2D85D3E287AA1A055A1E592865BCC0D167CBA527CF177D9EE8DAB2F86053,1\cc801f8219364e72a798602952b77db0.jpg,C:\panda-gallery\originals\1\cc801f8219364e72a798602952b77db0.jpg,cc801f8219364e72a798602952b77db0.jpg,19722,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
425D50302C4EBC82AB459620A780A0D2BABB44F65EB4481F0E8907F1F1F2775A,1\a7511c13c46048278493eb37997f98e0.jpg,C:\panda-gallery\originals\1\a7511c13c46048278493eb37997f98e0.jpg,a7511c13c46048278493eb37997f98e0.jpg,18163,True,False,True,keep,referenced_by_db_file_path_or_text
425D50302C4EBC82AB459620A780A0D2BABB44F65EB4481F0E8907F1F1F2775A,2\28cf65ea637342d6aee2d7d4a4a35373.jpg,C:\panda-gallery\originals\2\28cf65ea637342d6aee2d7d4a4a35373.jpg,28cf65ea637342d6aee2d7d4a4a35373.jpg,18163,True,True,True,keep,referenced_by_db_file_path_or_text
425D50302C4EBC82AB459620A780A0D2BABB44F65EB4481F0E8907F1F1F2775A,1\3265a96b3ed14a8db853768b013ea3d7.jpg,C:\panda-gallery\originals\1\3265a96b3ed14a8db853768b013ea3d7.jpg,3265a96b3ed14a8db853768b013ea3d7.jpg,18163,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
A9B135237FCB14A1686EB9E1163DB868A6CB10E3BA34522AB6A01430EEDED49A,1\36fddcc4872c43739f5a2497797a2eb3.jpg,C:\panda-gallery\originals\1\36fddcc4872c43739f5a2497797a2eb3.jpg,36fddcc4872c43739f5a2497797a2eb3.jpg,16571,True,True,True,keep,referenced_by_db_file_path_or_text
A9B135237FCB14A1686EB9E1163DB868A6CB10E3BA34522AB6A01430EEDED49A,2\b359b44f0cea4d75ba0332b2469f5606.jpg,C:\panda-gallery\originals\2\b359b44f0cea4d75ba0332b2469f5606.jpg,b359b44f0cea4d75ba0332b2469f5606.jpg,16571,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3,1\3bbdc827037e4d689be587541d28f0f6.jpg,C:\panda-gallery\originals\1\3bbdc827037e4d689be587541d28f0f6.jpg,3bbdc827037e4d689be587541d28f0f6.jpg,28865,True,False,True,keep,referenced_by_db_file_path_or_text
AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3,2\2bc85ac4a03844679cdb48cf2f0d4d80.jpg,C:\panda-gallery\originals\2\2bc85ac4a03844679cdb48cf2f0d4d80.jpg,2bc85ac4a03844679cdb48cf2f0d4d80.jpg,28865,True,True,True,keep,referenced_by_db_file_path_or_text
AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3,1\4ac1ff51e9de492cacee1d963502c0d5.jpg,C:\panda-gallery\originals\1\4ac1ff51e9de492cacee1d963502c0d5.jpg,4ac1ff51e9de492cacee1d963502c0d5.jpg,28865,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
